comp_gecodb	comp_lemma	comp_freq	n1_lemma	n1_freq	n1_prod	n1_mass_freq	n2_lemma	n2_freq
steigerung_+s_bedarf	Steigerungsbedarf	423	steigerung	248268	22	25059	bedarf	593132
noppe_+n_ball	Noppenball	35	noppe	2227	14	899	ball	1195425
karotte_+n_gemüse	Karottengemüse	106	karotte	22625	19	2411	gemüse	273935
araber_zucht	Araberzucht	57	araber	68990	16	2151	zucht	44994
pastor_+en_frau	Pastorenfrau	270	pastor	204397	28	5697	frau	9838661
bast_körbchen	Bastkörbchen	143	bast	17588	23	7421	körbchen	13289
vorrunde_+n_staffel	Vorrundenstaffel	2677	vorrunde	169017	49	78035	staffel	375596
araber_gestüt	Arabergestüt	82	araber	68990	16	2151	gestüt	22068
schwindel_erkrankung	Schwindelerkrankung	37	schwindel	33725	18	8263	erkrankung	321478
kieme_+n_netz	Kiemennetz	36	kieme	3376	12	567	netz	977460
urheber_vergütung	Urhebervergütung	52	urheber	40645	12	38233	vergütung	88844
pastor_+en_kirche	Pastorenkirche	22	pastor	204397	28	5697	kirche	2553981
gewohnheit_+s_bildung	Gewohnheitsbildung	24	gewohnheit	63952	14	7567	bildung	791479
bast_schuh	Bastschuh	94	bast	17588	23	7421	schuh	403817
pappel_wäldchen	Pappelwäldchen	283	pappel	27165	25	8084	wäldchen	17728
einfahrt_+s_weiche	Einfahrtsweiche	34	einfahrt	74388	27	3507	weiche	24648
karotte_+n_würfel	Karottenwürfel	75	karotte	22625	19	2411	würfel	55033
schwindel_ambulanz	Schwindelambulanz	84	schwindel	33725	18	8263	ambulanz	29307
urheber_verband	Urheberverband	48	urheber	40645	12	38233	verband	1138891
pappel_bestand	Pappelbestand	229	pappel	27165	25	8084	bestand	377744
steigerung_+s_quote	Steigerungsquote	244	steigerung	248268	22	25059	quote	285609
pastor_+en_weg	Pastorenweg	274	pastor	204397	28	5697	weg	5133691
vorrunde_+n_match	Vorrundenmatch	523	vorrunde	169017	49	78035	match	175229
noppe_+n_spiel	Noppenspiel	23	noppe	2227	14	899	spiel	5073662
noppe_+n_schuh	Noppenschuh	159	noppe	2227	14	899	schuh	403817
pappel_hain	Pappelhain	548	pappel	27165	25	8084	hain	43055
mediziner_kongress	Medizinerkongress	206	mediziner	273039	30	3464	kongress	206321
bast_haut	Basthaut	93	bast	17588	23	7421	haut	319311
kieme_+n_büschel	Kiemenbüschel	37	kieme	3376	12	567	büschel	5776
bast_faden	Bastfaden	54	bast	17588	23	7421	faden	192025
mediziner_team	Medizinerteam	293	mediziner	273039	30	3464	team	3704600
gewohnheit_+s_raucher	Gewohnheitsraucher	51	gewohnheit	63952	14	7567	raucher	76451
pappel_stamm	Pappelstamm	299	pappel	27165	25	8084	stamm	196839
einfahrt_bereich	Einfahrtbereich	89	einfahrt	74388	27	3507	bereich	3022379
mediziner_sprache	Medizinersprache	78	mediziner	273039	30	3464	sprache	1028674
karotte_+n_form	Karottenform	69	karotte	22625	19	2411	form	1609109
bast_schicht	Bastschicht	69	bast	17588	23	7421	schicht	222258
einfahrt_+s_genehmigung	Einfahrtsgenehmigung	58	einfahrt	74388	27	3507	genehmigung	331543
steigerung_+s_wert	Steigerungswert	40	steigerung	248268	22	25059	wert	1823690
araber_aufstand	Araberaufstand	25	araber	68990	16	2151	aufstand	112697
steigerung_+s_logik	Steigerungslogik	99	steigerung	248268	22	25059	logik	98809
schwindel_firma	Schwindelfirma	155	schwindel	33725	18	8263	firma	2925009
kieme_+n_schnitt	Kiemenschnitt	26	kieme	3376	12	567	schnitt	483597
mediziner_ball	Medizinerball	129	mediziner	273039	30	3464	ball	1195425
gewohnheit_+s_frage	Gewohnheitsfrage	20	gewohnheit	63952	14	7567	frage	5961439
vorrunde_+n_leistung	Vorrundenleistung	133	vorrunde	169017	49	78035	leistung	1891803
vorrunde_+n_erfolg	Vorrundenerfolg	240	vorrunde	169017	49	78035	erfolg	2980098
